id,nume,lat,lng
1,Buftea,44.5629744,25.9388214
2,Buciumeni,44.5460939,25.9574846
3,Otopeni,44.5671874,26.0835113
4,Odaile,44.5435944,26.0487028
5,1 Decembrie,44.2862871,26.0540403
6,Copaceni,44.2705494,26.0832726
7,Afumati,44.5189626,26.2396449
8,Balotesti,44.6224456,26.1102518
9,Dumbraveni,44.6359645,26.1156689
10,Saftica,44.6277353,26.0684344
11,Berceni,44.3122991,26.1883996
12,Bragadiru,44.3815998,25.9956853
13,Branesti,44.45,26.333333
14,Islaz,44.461218,26.3883149
15,Pasarea,44.471466,26.3220198
16,Vadu Anei,44.4228074,26.3541407
17,Cernica,44.4189725,26.2799064
18,Balaceanca,44.3908015,26.2892126
19,Caldararu,44.4141479,26.259505
20,Posta,44.3775772,26.3103375
21,Tanganu,44.4029353,26.3148947
22,Chiajna,44.4584095,25.9733521
23,Dudu,44.4553447,25.9859332
24,Rosu,44.4467658,26.0009209
25,Chitila,44.509892,25.9845856
26,Rudeni,44.4749519,25.9661158
27,Ciolpani,44.72724,26.10957
28,Izvorani,44.6953456,26.1209458
29,Luparia,44.7418641,26.1233622
30,Piscu,44.7357845,26.0722308
31,Ciorogarla,44.4311114,25.8729598
32,Darvari,44.4214748,25.8771951
33,Clinceni,44.366667,25.95
34,Olteni,44.3975045,25.9606769
35,Ordoreanu,44.3638462,25.8968922
36,Corbeanca,44.6,26.05
37,Ostratu,44.6053486,26.0133024
38,Petresti,44.6018428,26.0656046
39,Tamasi,44.5844623,26.0026884
40,Cornetu,44.35,25.95
41,Buda,44.3318741,25.950137
42,Dascalu,44.6012674,26.2266731
43,Creata,44.5985022,26.2730186
44,Gagu,44.6146885,26.2575742
45,Runcu,44.5848176,26.2055679
46,Darasti-Ilfov,44.3088894,26.0217985
47,Dobroesti,44.4552302,26.1827514
48,Fundeni,44.4636745,26.1734741
49,Domnesti,44.4051433,25.9292699
50,Teghes,44.3794128,25.8732336
51,Dragomiresti-Vale,44.4623837,25.9266471
52,Dragomiresti-Deal,44.4620815,25.9380207
53,Zurbaua,44.4893401,25.9120123
54,Ganeasa,44.5,26.266667
55,Cozieni,44.4775167,26.3025365
56,Moara Domneasca,44.4936215,26.2547948
57,Piteasca,44.4910513,26.3276841
58,Sindrilita,44.5139396,26.3150385
59,Glina,44.3897642,26.2335009
60,Catelu,44.4044858,26.218726
61,Manolache,44.4050135,26.2465853
62,Gradistea,44.6667,26.3
63,Sitaru,44.6679292,26.3278866
64,Gruiu,44.723724,26.2274634
65,Lipia,44.7097568,26.2589644
66,Silistea Snagovului,44.7417494,26.1743696
67,Santu-Floresti,44.7333487,26.2034869
68,Jilava,44.3369129,26.088055
69,Magurele,44.361404,26.0381505
70,Alunisu,44.3419928,26.0522099
71,Dumitrana,44.3250775,26.0007334
72,Pruni,44.3301184,25.9901281
73,Varteju,44.3550094,25.9988803
74,Moara Vlasiei,44.639707,26.2213601
75,Caciulati,44.628932,26.1695428
76,Mogosoaia,44.528596,25.9989277
77,Nuci,44.716667,26.3
78,Balta Neagra,44.6974243,26.3038894
79,Merii Petchii,44.7385545,26.3031687
80,Micsunesti-Moara,44.7014838,26.3276073
81,Micsunestii Mari,44.6918335,26.3515578
82,Pantelimon,44.450951,26.2352115
83,Peris,44.6779178,26.0352559
84,Balteni,44.7162588,26.0354809
85,Burias,44.7341671,25.9823904
86,Petrachioaia,44.583333,26.316667
87,Maineasca,44.5757952,26.3448575
88,Surlari,44.5733114,26.314894
89,Vanatori,44.5902752,26.2963142
90,Popesti-Leordeni,44.3788851,26.1876693
91,Snagov,44.708889,26.171389
92,Ciofliceni,44.6818087,26.1155207
93,Tancabesti,44.6809524,26.0734967
94,Vladiceasca,44.668317,26.084651
95,Ghermanesti,44.6885253,26.1436999
96,Stefanestii de Jos,44.5284438,26.1961173
97,Cretuleasca,44.532758,26.1886175
98,Stefanestii de Sus,44.5284438,26.1961173
99,Tunari,44.546529,26.1375753
100,Dimieni,44.5882922,26.1335493
101,Vidra,44.266667,26.15
102,Cretesti,44.2791542,26.1383191
103,Sintesti,44.3061878,26.1182026
104,Voluntari,44.5050832,26.1555435
105,Pipera (Voluntari),44.4977877,26.1249325
106,Bolintin-Vale,44.4474639,25.7646681
107,Crivina,44.4306651,25.7833209
108,Malu Spart,44.4433426,25.7103399
109,Suseni,44.4504964,25.6959372
110,Mihailesti,44.3213976,25.9099083
111,Draganescu,44.3438211,25.8832619
112,Novaci,44.3006639,25.9749854
113,Popesti,44.3038668,25.9567871
114,Adunatii-Copaceni,44.2579328,26.0495864
115,Darasti-Vlasca,44.2887554,26.0137759
116,Mogosesti,44.2400359,26.1077065
117,Varlaam,44.2453986,26.0858024
118,Baneasa,44.0478047,26.0683623
119,Frasinu,44.026155,26.0221228
120,Pietrele,44.0639746,26.117033
121,Sfantu Gheorghe (Baneasa),44.0164504,26.0319073
122,Bolintin-Deal,44.4487977,25.8202444
123,Mihai Voda,44.4420568,25.8175996
124,Bucsani,44.3762164,25.6728054
125,Anghelesti,44.3382122,25.642074
126,Goleasca,44.3544775,25.5844317
127,Obedeni,44.3509219,25.6504243
128,Podisor,44.3888081,25.7148719
129,Uiesti,44.3571997,25.6140239
130,Vadu Lat,44.3483975,25.6711495
131,Bulbucata,44.2751875,25.8070812
132,Coteni,44.3119184,25.8300744
133,Facau,44.2929208,25.8300415
134,Teisori,44.2962354,25.8061971
135,Buturugeni,44.3666841,25.8395805
136,Padureni,44.341725,25.8057417
137,Podu Ilfovatului,44.3200622,25.8166894
138,Posta,44.3505316,25.8733092
139,Calugareni,44.1834954,25.9981703
140,Branistari,44.181493,26.0465077
141,Crucea de Piatra,44.1583975,26.0007402
142,Hulubesti,44.1659973,25.9444057
143,Uzunu,44.1419808,25.9827933
144,Clejani,44.315266,25.7222339
145,Neajlovu,44.313823,25.7536589
146,Podu Doamnei,44.3065531,25.7456785
147,Sterea,44.3230884,25.7355659
148,Colibasi,44.2214483,26.188454
149,Campurelu,44.2351691,26.182528
150,Comana,44.1740653,26.1418766
151,Budeni,44.1897846,26.1127255
152,Falastoaca,44.1945171,26.1833137
153,Gradistea,44.2128366,26.1586287
